contact_sheet_index,original_filename,current_filename,new_filename,source_type,creator,ownership,tier,visual_family,secondary_tags,destination_path,rename_status,rationale,notes
,02Nov15_008c.jpg,optical-01-lavender-film-strip.jpg,personal-analogue-01-lavender-film-strip.jpg,personal,Lara,original-work,anchor,optical-analogue,film-edge;sprocket;chromatic-drift;threshold,references/personal/analogue/personal-analogue-01-lavender-film-strip.jpg,approved,Approved personal analogue shortlist image for the optical layer.,Mapped from catalogue shortlist source 02Nov15_008c.jpg.
,35mm02.jpg,optical-02-blue-sprocket-field.jpg,personal-analogue-02-blue-sprocket-field.jpg,personal,Lara,original-work,anchor,optical-analogue,sprocket;film-edge;chromatic-drift,references/personal/analogue/personal-analogue-02-blue-sprocket-field.jpg,approved,Approved personal analogue shortlist image for the optical layer.,Mapped from catalogue shortlist source 35mm02.jpg.
,7077-1.jpg,optical-03-striped-stair-light.jpg,personal-analogue-03-striped-stair-light.jpg,personal,Lara,original-work,anchor,optical-analogue,threshold;domestic;light,references/personal/analogue/personal-analogue-03-striped-stair-light.jpg,approved,Approved personal analogue shortlist image for the optical layer.,Mapped from catalogue shortlist source 7077-1.jpg.
,7077-7.jpg,optical-04-violet-tree-shadow.jpg,personal-analogue-04-violet-tree-shadow.jpg,personal,Lara,original-work,anchor,optical-analogue,botanical;shadow;chromatic-drift,references/personal/analogue/personal-analogue-04-violet-tree-shadow.jpg,approved,Approved personal analogue shortlist image for the optical layer.,Mapped from catalogue shortlist source 7077-7.jpg.
,7077-9.jpg,optical-05-window-ring.jpg,personal-analogue-05-window-ring.jpg,personal,Lara,original-work,anchor,optical-analogue,threshold;aperture;light-leak,references/personal/analogue/personal-analogue-05-window-ring.jpg,approved,Approved personal analogue shortlist image for the optical layer.,Mapped from catalogue shortlist source 7077-9.jpg.
,7010AA018.jpg,bridge-01-ginkgo-ground.jpg,personal-analogue-06-ginkgo-ground.jpg,personal,Lara,original-work,anchor,optical-analogue,botanical;landscape;place-memory,references/personal/analogue/personal-analogue-06-ginkgo-ground.jpg,approved,Approved personal analogue shortlist image bridging specimen observation and optical transformation.,Mapped from catalogue shortlist source 7010AA018.jpg.
,35mm05.jpg,bridge-02-sun-through-trees.jpg,personal-analogue-07-sun-through-trees.jpg,personal,Lara,original-work,anchor,optical-analogue,botanical;landscape;film-edge;light-leak,references/personal/analogue/personal-analogue-07-sun-through-trees.jpg,approved,Approved personal analogue shortlist image bridging specimen observation and optical transformation.,Mapped from catalogue shortlist source 35mm05.jpg.
,35mm17.jpg,uncanny-01-double-exposure-woods.jpg,personal-analogue-08-double-exposure-woods.jpg,personal,Lara,original-work,anchor,optical-analogue,double-exposure;landscape;threshold,references/personal/analogue/personal-analogue-08-double-exposure-woods.jpg,approved,Approved personal analogue shortlist image for the uncanny optical layer.,Mapped from catalogue shortlist source 35mm17.jpg.
,1059627971.jpg,uncanny-02-orange-fisheye-forest.jpg,personal-analogue-09-orange-fisheye-forest.jpg,personal,Lara,original-work,anchor,optical-analogue,landscape;chromatic-drift;aperture,references/personal/analogue/personal-analogue-09-orange-fisheye-forest.jpg,approved,Approved personal analogue shortlist image for the uncanny optical layer.,Mapped from catalogue shortlist source 1059627971.jpg.
,Isle of Shoals_0013.jpg,place-01-red-lighthouse.jpg,personal-analogue-10-red-lighthouse.jpg,personal,Lara,original-work,anchor,optical-analogue,place-memory;landscape;chromatic-drift,references/personal/analogue/personal-analogue-10-red-lighthouse.jpg,approved,Approved personal analogue shortlist image preserving autobiographical geography.,Mapped from catalogue shortlist source Isle of Shoals_0013.jpg.
1,photo_1_2026-07-16_01-21-36.jpg,photo_1_2026-07-16_01-21-36.jpg,optical-01-violet-light-interior.jpg,external-reference,unknown,inspiration-only,primary,optical-analogue,,references/external/primary/optical-analogue/optical-01-violet-light-interior.jpg,approved,Explicitly assigned primary external reference.,
3,photo_3_2026-07-16_01-21-36.jpg,photo_3_2026-07-16_01-21-36.jpg,place-01-narrow-historic-house.jpg,external-reference,unknown,inspiration-only,primary,place-memory-thresholds,,references/external/primary/place-memory-thresholds/place-01-narrow-historic-house.jpg,approved,Explicitly assigned primary external reference.,
4,photo_4_2026-07-16_01-21-36.jpg,photo_4_2026-07-16_01-21-36.jpg,archival-01-layered-historic-parlor.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-01-layered-historic-parlor.jpg,approved,Explicitly assigned primary external reference.,
5,photo_5_2026-07-16_01-21-36.jpg,photo_5_2026-07-16_01-21-36.jpg,archival-02-private-reading-interior.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-02-private-reading-interior.jpg,approved,Explicitly assigned primary external reference.,
6,photo_6_2026-07-16_01-21-36.jpg,photo_6_2026-07-16_01-21-36.jpg,archival-03-inhabited-scholarly-workroom.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-03-inhabited-scholarly-workroom.jpg,approved,Explicitly assigned primary external reference.,
