contact_sheet_index,original_filename,current_filename,new_filename,source_type,creator,ownership,tier,visual_family,secondary_tags,destination_path,rename_status,rationale,notes
2,photo_2_2026-07-16_01-21-36.jpg,photo_2_2026-07-16_01-21-36.jpg,optical-12-magenta-cream-color-field.jpg,external-reference,unknown,inspiration-only,secondary,optical-analogue,,references/external/secondary/optical-analogue/optical-12-magenta-cream-color-field.jpg,approved,Explicitly assigned secondary external reference.,
7,photo_7_2026-07-16_01-21-36.jpg,photo_7_2026-07-16_01-21-36.jpg,place-07-ornamented-vertical-facade.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-07-ornamented-vertical-facade.jpg,approved,Explicitly assigned secondary external reference.,
11,photo_11_2026-07-16_01-21-36.jpg,photo_11_2026-07-16_01-21-36.jpg,specimen-01-framed-historic-photograph.jpg,external-reference,unknown,inspiration-only,secondary,specimen-object,,references/external/secondary/specimen-object/specimen-01-framed-historic-photograph.jpg,approved,Explicitly assigned secondary external reference.,
13,photo_13_2026-07-16_01-21-36.jpg,photo_13_2026-07-16_01-21-36.jpg,optical-13-lens-flare-through-canopy.jpg,external-reference,unknown,inspiration-only,secondary,optical-analogue,,references/external/secondary/optical-analogue/optical-13-lens-flare-through-canopy.jpg,approved,Explicitly assigned secondary external reference.,
16,photo_16_2026-07-16_01-21-36.jpg,photo_16_2026-07-16_01-21-36.jpg,place-08-silhouette-at-window.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-08-silhouette-at-window.jpg,approved,Explicitly assigned secondary external reference.,
27,photo_27_2026-07-16_01-21-36.jpg,photo_27_2026-07-16_01-21-36.jpg,place-09-flooded-institutional-building.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-09-flooded-institutional-building.jpg,approved,Explicitly assigned secondary external reference.,
29,photo_29_2026-07-16_01-21-36.jpg,photo_29_2026-07-16_01-21-36.jpg,place-10-isolated-stone-coastal-house.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-10-isolated-stone-coastal-house.jpg,approved,Explicitly assigned secondary external reference.,
30,photo_30_2026-07-16_01-21-36.jpg,photo_30_2026-07-16_01-21-36.jpg,place-11-small-coastal-tower.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-11-small-coastal-tower.jpg,approved,Explicitly assigned secondary external reference.,
33,photo_33_2026-07-16_01-21-36.jpg,photo_33_2026-07-16_01-21-36.jpg,place-12-layered-exterior-stairways.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-12-layered-exterior-stairways.jpg,approved,Explicitly assigned secondary external reference.,
35,photo_35_2026-07-16_01-21-36.jpg,photo_35_2026-07-16_01-21-36.jpg,place-13-reflective-pastel-landscape.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-13-reflective-pastel-landscape.jpg,approved,Explicitly assigned secondary external reference.,
37,photo_37_2026-07-16_01-21-36.jpg,photo_37_2026-07-16_01-21-36.jpg,archival-08-botanical-figure-interior.jpg,external-reference,unknown,inspiration-only,secondary,archival-scholarly,,references/external/secondary/archival-scholarly/archival-08-botanical-figure-interior.jpg,approved,Explicitly assigned secondary external reference.,
41,photo_41_2026-07-16_01-21-36.jpg,photo_41_2026-07-16_01-21-36.jpg,specimen-02-obscured-floral-painting.jpg,external-reference,unknown,inspiration-only,secondary,specimen-object,,references/external/secondary/specimen-object/specimen-02-obscured-floral-painting.jpg,approved,Explicitly assigned secondary external reference.,
42,photo_42_2026-07-16_01-21-36.jpg,photo_42_2026-07-16_01-21-36.jpg,specimen-03-smeared-botanical-painting.jpg,external-reference,unknown,inspiration-only,secondary,specimen-object,,references/external/secondary/specimen-object/specimen-03-smeared-botanical-painting.jpg,approved,Explicitly assigned secondary external reference.,
51,photo_51_2026-07-16_01-21-36.jpg,photo_51_2026-07-16_01-21-36.jpg,specimen-04-faceted-geometric-object.jpg,external-reference,unknown,inspiration-only,secondary,specimen-object,,references/external/secondary/specimen-object/specimen-04-faceted-geometric-object.jpg,approved,Explicitly assigned secondary external reference.,
53,photo_53_2026-07-16_01-21-36.jpg,photo_53_2026-07-16_01-21-36.jpg,specimen-05-microscopic-particle-field.jpg,external-reference,unknown,inspiration-only,secondary,specimen-object,,references/external/secondary/specimen-object/specimen-05-microscopic-particle-field.jpg,approved,Explicitly assigned secondary external reference.,
54,photo_54_2026-07-16_01-21-36.jpg,photo_54_2026-07-16_01-21-36.jpg,archival-09-draped-figure-at-furniture.jpg,external-reference,unknown,inspiration-only,secondary,archival-scholarly,,references/external/secondary/archival-scholarly/archival-09-draped-figure-at-furniture.jpg,approved,Explicitly assigned secondary external reference.,
60,photo_60_2026-07-16_01-21-36.jpg,photo_60_2026-07-16_01-21-36.jpg,place-14-marsh-with-hovering-lights.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-14-marsh-with-hovering-lights.jpg,approved,Explicitly assigned secondary external reference.,
61,photo_61_2026-07-16_01-21-36.jpg,photo_61_2026-07-16_01-21-36.jpg,place-15-blue-nocturne-landscape.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-15-blue-nocturne-landscape.jpg,approved,Explicitly assigned secondary external reference.,
62,photo_62_2026-07-16_01-21-36.jpg,photo_62_2026-07-16_01-21-36.jpg,place-16-misty-field-at-dawn.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-16-misty-field-at-dawn.jpg,approved,Explicitly assigned secondary external reference.,
64,photo_64_2026-07-16_01-21-36.jpg,photo_64_2026-07-16_01-21-36.jpg,place-17-pale-sun-over-open-land.jpg,external-reference,unknown,inspiration-only,secondary,place-memory-thresholds,,references/external/secondary/place-memory-thresholds/place-17-pale-sun-over-open-land.jpg,approved,Explicitly assigned secondary external reference.,
68,photo_68_2026-07-16_01-21-36.jpg,photo_68_2026-07-16_01-21-36.jpg,optical-14-teal-obscured-landscape.jpg,external-reference,unknown,inspiration-only,secondary,optical-analogue,,references/external/secondary/optical-analogue/optical-14-teal-obscured-landscape.jpg,approved,Explicitly assigned secondary external reference.,
74,photo_74_2026-07-16_01-21-36.jpg,photo_74_2026-07-16_01-21-36.jpg,specimen-06-vertical-cabinet-of-skulls.jpg,external-reference,unknown,inspiration-only,secondary,specimen-object,,references/external/secondary/specimen-object/specimen-06-vertical-cabinet-of-skulls.jpg,approved,Explicitly assigned secondary external reference.,
