contact_sheet_index,original_filename,current_filename,new_filename,source_type,creator,ownership,tier,visual_family,secondary_tags,destination_path,rename_status,rationale,notes
55,photo_55_2026-07-16_01-21-36.jpg,photo_55_2026-07-16_01-21-36.jpg,quarantine-gothic-01-ritual-room.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-01-ritual-room.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
56,photo_56_2026-07-16_01-21-36.jpg,photo_56_2026-07-16_01-21-36.jpg,quarantine-gothic-02-ritual-room-variant.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-02-ritual-room-variant.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
57,photo_57_2026-07-16_01-21-36.jpg,photo_57_2026-07-16_01-21-36.jpg,quarantine-gothic-03-cloaked-figure-at-window.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-03-cloaked-figure-at-window.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
58,photo_58_2026-07-16_01-21-36.jpg,photo_58_2026-07-16_01-21-36.jpg,quarantine-gothic-04-cloaked-figures-interior.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-04-cloaked-figures-interior.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
59,photo_59_2026-07-16_01-21-36.jpg,photo_59_2026-07-16_01-21-36.jpg,quarantine-gothic-05-cloaked-figure-and-mirror.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-05-cloaked-figure-and-mirror.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
71,photo_71_2026-07-16_01-21-36.jpg,photo_71_2026-07-16_01-21-36.jpg,quarantine-gothic-06-mourning-room.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-06-mourning-room.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
72,photo_72_2026-07-16_01-21-36.jpg,photo_72_2026-07-16_01-21-36.jpg,quarantine-gothic-07-processional-room.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-07-processional-room.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
73,photo_73_2026-07-16_01-21-36.jpg,photo_73_2026-07-16_01-21-36.jpg,quarantine-gothic-08-gothic-assembly-hall.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-08-gothic-assembly-hall.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
75,photo_75_2026-07-16_01-21-36.jpg,photo_75_2026-07-16_01-21-36.jpg,quarantine-gothic-09-figure-and-covered-mirror.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-09-figure-and-covered-mirror.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
76,photo_76_2026-07-16_01-21-36.jpg,photo_76_2026-07-16_01-21-36.jpg,quarantine-gothic-10-cloaked-figure-in-room.jpg,external-reference,unknown,inspiration-only,quarantine,literal-gothic,,references/external/quarantine/too-literal-gothic/quarantine-gothic-10-cloaked-figure-in-room.jpg,approved,"Too literal, iconographic, synthetic, or narratively gothic. Risks replacing subtle optical uncanniness with occult or horror shorthand.",
