contact_sheet_index,original_filename,current_filename,new_filename,source_type,creator,ownership,tier,visual_family,secondary_tags,destination_path,rename_status,rationale,notes
1,photo_1_2026-07-16_01-21-36.jpg,photo_1_2026-07-16_01-21-36.jpg,optical-01-violet-light-interior.jpg,external-reference,unknown,inspiration-only,primary,optical-analogue,,references/external/primary/optical-analogue/optical-01-violet-light-interior.jpg,approved,Explicitly assigned primary external reference.,
3,photo_3_2026-07-16_01-21-36.jpg,photo_3_2026-07-16_01-21-36.jpg,place-01-narrow-historic-house.jpg,external-reference,unknown,inspiration-only,primary,place-memory-thresholds,,references/external/primary/place-memory-thresholds/place-01-narrow-historic-house.jpg,approved,Explicitly assigned primary external reference.,
4,photo_4_2026-07-16_01-21-36.jpg,photo_4_2026-07-16_01-21-36.jpg,archival-01-layered-historic-parlor.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-01-layered-historic-parlor.jpg,approved,Explicitly assigned primary external reference.,
5,photo_5_2026-07-16_01-21-36.jpg,photo_5_2026-07-16_01-21-36.jpg,archival-02-private-reading-interior.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-02-private-reading-interior.jpg,approved,Explicitly assigned primary external reference.,
6,photo_6_2026-07-16_01-21-36.jpg,photo_6_2026-07-16_01-21-36.jpg,archival-03-inhabited-scholarly-workroom.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-03-inhabited-scholarly-workroom.jpg,approved,Explicitly assigned primary external reference.,
8,photo_8_2026-07-16_01-21-36.jpg,photo_8_2026-07-16_01-21-36.jpg,place-02-small-overgrown-studio.jpg,external-reference,unknown,inspiration-only,primary,place-memory-thresholds,,references/external/primary/place-memory-thresholds/place-02-small-overgrown-studio.jpg,approved,Explicitly assigned primary external reference.,
9,photo_9_2026-07-16_01-21-36.jpg,photo_9_2026-07-16_01-21-36.jpg,optical-02-botanical-shadow-on-siding.jpg,external-reference,unknown,inspiration-only,primary,optical-analogue,,references/external/primary/optical-analogue/optical-02-botanical-shadow-on-siding.jpg,approved,Explicitly assigned primary external reference.,
10,photo_10_2026-07-16_01-21-36.jpg,photo_10_2026-07-16_01-21-36.jpg,optical-03-domestic-optical-apparatus.jpg,external-reference,unknown,inspiration-only,primary,optical-analogue,,references/external/primary/optical-analogue/optical-03-domestic-optical-apparatus.jpg,approved,Explicitly assigned primary external reference.,
12,photo_12_2026-07-16_01-21-36.jpg,photo_12_2026-07-16_01-21-36.jpg,archival-04-dark-room-window-and-chair.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-04-dark-room-window-and-chair.jpg,approved,Explicitly assigned primary external reference.,
14,photo_14_2026-07-16_01-21-36.jpg,photo_14_2026-07-16_01-21-36.jpg,optical-04-branch-reflection-in-glass.jpg,external-reference,unknown,inspiration-only,primary,optical-analogue,,references/external/primary/optical-analogue/optical-04-branch-reflection-in-glass.jpg,approved,Explicitly assigned primary external reference.,
15,photo_15_2026-07-16_01-21-36.jpg,photo_15_2026-07-16_01-21-36.jpg,archival-05-fin-de-siecle-dining-interior.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-05-fin-de-siecle-dining-interior.jpg,approved,Explicitly assigned primary external reference.,
19,photo_19_2026-07-16_01-21-36.jpg,photo_19_2026-07-16_01-21-36.jpg,archival-06-institutional-reading-room.jpg,external-reference,unknown,inspiration-only,primary,archival-scholarly,,references/external/primary/archival-scholarly/archival-06-institutional-reading-room.jpg,approved,Explicitly assigned primary external reference.,
25,photo_25_2026-07-16_01-21-36.jpg,photo_25_2026-07-16_01-21-36.jpg,optical-05-translucent-curtain.jpg,external-reference,unknown,inspiration-only,primary,optical-analogue,,references/external/primary/optical-analogue/optical-05-translucent-curtain.jpg,approved,Explicitly assigned primary external reference.,
28,photo_28_2026-07-16_01-21-36.jpg,photo_28_2026-07-16_01-21-36.jpg,place-03-severe-coastal-house.jpg,external-reference,unknown,inspiration-only,primary,place-memory-thresholds,,references/external/primary/place-memory-thresholds/place-03-severe-coastal-house.jpg,approved,Explicitly assigned primary external reference.,
31,photo_31_2026-07-16_01-21-36.jpg,photo_31_2026-07-16_01-21-36.jpg,place-04-porch-with-rocking-chairs.jpg,external-reference,unknown,inspiration-only,primary,place-memory-thresholds,,references/external/primary/place-memory-thresholds/place-04-porch-with-rocking-chairs.jpg,approved,Explicitly assigned primary external reference.,
